Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,quote,"PROCUREMENTWe rely on our suppliers and service providers to keep the municipality functioning effectively. In order to supply goods or provide services to the municipality, businesses need to be registered on the Supplier Database. The business is then able to quote and bid for services and goods as advertised by the municipality.PROCUREMENT INFORMATIONWHAT IS A QUOTATION?A quotation is an informal offer to perform work, render a service or supply goods at a price. Request for Quotation (RFQ) i",,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,,here Complete Supplier Registration forms available from municipal offices or download here.,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2022/03/Supplier-Database-Registration-Form.pdf,,Swellendam
Municipal,Quotes,Our website via the Adverts for Tenders and Quotes section,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,quotation,Ensure that your offer (quotation or bid) is deposited at the closing destination before the closing time.,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,bid document,Ensure that your bid document is deposited in the correct bid (tender) box.,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,bid documents,Ensure that bid documents are signed at the indicated areas.,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,,scm@swellendam.gov.za,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za/mailto:scm@swellenmun.co.za,,Swellendam
Municipal,SMQ39-25-,ADVERT_SMQ52-25-26_SUPPLY AND DELIVERY OF SEWER INSPECTION CAMERAS AND FIRE HOSE PRESSURE TESTERS19 Feb 2026- PDF ADVERT_SMQ50-25-26_SUPPLY AND DELIVERY OF ELECTRICAL TEST EQUIPMENT TO SWELLENDAM MUNICIPALITY19 Feb 2026- PDF ADVERT_SMQ48-25-26_REFURBISHMENT OF KITCHEN AND BEDROOM CUPBOARDS FOR MUNICIPAL HOUSE AT KLIPPERIVIER WWTW19 Feb 2026- PDF ADVERT_SMQ44-25-26_PROVISION OF VARIOUS SMALL WORKS IN SWELLENDAM19 Feb 2026- PDF Advert_SMQ49-25-26_Facilitation of Medical Surveillance of Employees e,,05/11/2025,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2025/10/SMT27-1.pdf,,Swellendam
Municipal,SCM and,"Advert_SMT09-25-26_Provision of Specialist Legal Services (MFMA, SCM and Related Services)13 Aug 2025- PDF",,13/08/2025,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2025/06/116-3-Notice_Amendment-of-DDP.pdf,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2025/06/116-3-Notice_Amendment-of-Syntell.pdf,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2024/03/SMT21-22-23_Discipline-4_Notice_Amendment-of-Agreement_Hessequa.pdf,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2024/03/SMT40-22-23_Notice_Amendment-of-Agreement_Bidvest-Services-t-a-Bidvest-Stein-2.pdf,,Swellendam
Municipal,BID NO,NOTICE:CLOSING DATE OF BID NO SMT17/23/24 IS EXTENDED FROM 6 OCTOBER TO 13 OCTOBER 202302 Oct 2023- PDF,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2023/04/SMT55-22-23_Advert.pdf,,Swellendam
Municipal,QUOTATION,ADVERT: QUOTATION NO: SMQ26/22/23_INSTALLATION OF AUTOMATED ENTRANCE GATE AT WATER TREATMENT WORKS AND PEDESTRIAN GATE AT NEW LIBRARY17 Feb 2023- PDF,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,QUOTATION,ADVERT: QUOTATION NO: SMQ22/22/23_APPOINTMENT OF SMALL CONTRACTOR FOR DIGGING AND COVERAGE OF TRENCES17 Feb 2023- PDF,,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://swellendam.gov.za,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2022/10/SMQ12-22-23_Advert.pdf,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2022/09/SMT18-22-23_Advert.pdf,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2022/07/SMT49-21-22_Advert.pdf,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2022/07/SMT48-21-22_Advert.pdf,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2022/03/SMT36-21-22_Advert.pdf,,Swellendam
Municipal,,Swellendam tender (see document),,,Swellendam Municipality,Request for Bid,Western Cape,Swellendam,,,,,,,,,,,,https://www.swellendam.gov.za/wp-content/uploads/2022/03/SMT35-21-22_Advert.pdf,,Swellendam
